PRECINCT,HOUR,INCIDENT_COUNT,AVG_SEVERITY,SAFETY_INDEX
71.0,4,172,2.1511627906976742,51.07970214539678
71.0,5,153,2.1372549019607843,51.83724383370405
71.0,6,207,2.130434782608696,50.15221992331009
71.0,7,269,1.962825278810409,49.355814334082325
71.0,8,521,1.9961612284069097,47.36839157985028
71.0,9,503,2.021868787276342,47.414742792684045
71.0,10,560,1.9946428571428572,47.2271079736925
71.0,11,591,1.9627749576988156,47.15637126447423
71.0,12,729,2.0123456790123457,46.77183453251976
71.0,13,637,2.0,46.9919473464275
71.0,14,714,2.0280112044817926,46.79089978161607
71.0,15,702,2.0598290598290596,46.792935795332625
71.0,16,825,2.0775757575757576,46.5624504899358
71.0,17,725,2.103448275862069,46.716573932688725
71.0,18,742,2.0902964959568733,46.69314355630468
71.0,19,675,2.1614814814814816,46.779801483406516
71.0,20,584,2.1797945205479454,46.993261631959214
71.0,21,617,2.1118314424635334,46.9547106012437
71.0,22,559,2.1288014311270125,47.11004749808955
71.0,23,446,2.1547085201793723,47.536875292138355
72.0,0,598,2.321070234113712,46.8545325446017
72.0,1,449,2.2561247216035634,47.423018729221596
72.0,2,427,2.234192037470726,47.55315002378734
72.0,3,358,2.3184357541899443,47.88694729095074
72.0,4,296,2.3175675675675675,48.42602061660951
72.0,5,184,2.347826086956522,50.25291488286763
72.0,6,192,2.1875,50.393887826248175
72.0,7,255,2.062745098039216,49.37116396324405
72.0,8,397,2.146095717884131,47.82063522594974
72.0,9,424,2.0966981132075473,47.716511925194006
72.0,10,484,2.15702479338843,47.36053897557709
72.0,11,516,2.1627906976744184,47.22881787163976
72.0,12,625,2.152,46.903628335859906
72.0,13,582,2.1821305841924397,46.99721690700034
72.0,14,617,2.1442463533225284,46.92998121746902
72.0,15,711,2.168776371308017,46.70116465567291
72.0,16,708,2.227401129943503,46.67048577318124
72.0,17,654,2.1773700305810397,46.81570940943182
72.0,18,694,2.195965417867435,46.7174910665917
72.0,19,627,2.1945773524720895,46.86792502146263
72.0,20,601,2.178036605657238,46.9472124404949
72.0,21,576,2.1927083333333335,47.0065189539498
72.0,22,498,2.2610441767068274,47.21185556251817
72.0,23,459,2.3050108932461875,47.33352245425913
73.0,0,940,2.15,46.373543162873005
73.0,1,656,2.0945121951219514,46.87017984410734
73.0,2,509,2.1709233791748526,47.247831008361935
73.0,3,350,2.2485714285714287,48.02726199658643
73.0,4,344,2.191860465116279,48.14579940289579
73.0,5,298,2.2013422818791946,48.568116291246454
73.0,6,416,2.2427884615384617,47.60343946788596
73.0,7,537,2.0130353817504654,47.290657335329115
73.0,8,841,1.963139120095125,46.60990420489607
73.0,9,846,2.0437352245862885,46.55166169330144
73.0,10,875,2.0388571428571427,46.51365497212352
73.0,11,907,2.0088202866593163,46.48873612575258
73.0,12,1081,2.0370027752081405,46.28685046759747
73.0,13,1005,2.0587064676616915,46.349074964555186
73.0,14,1164,2.064432989690722,46.20588263188675
73.0,15,1324,2.1004531722054383,46.08531670234563
73.0,16,1367,2.135332845647403,46.049081427382966
73.0,17,1348,2.1164688427299705,46.065973993505324
73.0,18,1397,2.1252684323550466,46.036784028210946
73.0,19,1153,2.131830008673027,46.186034730257944
73.0,20,1151,2.104257167680278,46.19892417004554
73.0,21,1014,2.136094674556213,46.30293892083374
73.0,22,1040,2.164423076923077,46.26577919192026
73.0,23,960,2.1614583333333335,46.34609603510938
75.0,0,1707,2.327475102519039,45.85536095941731
75.0,1,1280,2.28203125,46.0485814482232
75.0,2,949,2.3119072708113806,46.29038005229409
75.0,3,747,2.3721552878179386,46.521746121836216
75.0,4,589,2.3514431239388793,46.85785890708557
75.0,5,525,2.241904761904762,47.12983119667581
75.0,6,703,2.204836415362731,46.6940301896542
75.0,7,831,2.050541516245487,46.569748545249105
75.0,8,1279,2.0445660672400314,46.133971196829116
75.0,9,1199,2.0,46.20773213306969
75.0,10,1369,2.0818115412710005,46.06676042732528
75.0,11,1509,2.031146454605699,46.014297722269156
75.0,12,1884,2.0392781316348194,45.873653874937304
75.0,13,1586,2.051702395964691,45.973905166304434
75.0,14,1752,2.0713470319634704,45.90621675678157
75.0,15,2061,2.1329451722464823,45.80373695643061
75.0,16,1924,2.1735966735966734,45.82854883344228
75.0,17,1976,2.1918016194331984,45.81101400121758
75.0,18,2059,2.1578436134045655,45.79860773533711
75.0,19,2107,2.1713336497389655,45.78476588726189
75.0,20,2024,2.1595849802371543,45.80651020678455
75.0,21,1800,2.206111111111111,45.8556311679768
75.0,22,1638,2.2405372405372406,45.89965502637787
75.0,23,1401,2.281227694503926,45.985792685547814
